s_no,speedup,benchmark_latency,kernel_latency,max_abs_error,max_rel_error,timestamp,short_approach_title
1,1.0140,113.57,113.57,8.006e-03,6.355e+05,2026-04-22T10:34:40+0530,split_wy_n_le_2
2,1.0432,108.87,108.87,8.006e-03,6.355e+05,2026-04-22T10:41:27+0530,split_wy_bf16_w
3,1.0011,108.75,108.75,8.006e-03,6.355e+05,2026-04-22T10:49:54+0530,split_wy_beta_over_g
4,1.0031,108.41,108.41,8.006e-03,6.355e+05,2026-04-22T11:01:00+0530,split_wy_mid_n
5,1.0138,106.94,106.94,8.006e-03,6.355e+05,2026-04-22T11:15:44+0530,split_wy_gated_u
6,1.0014,106.78,106.78,8.006e-03,6.355e+05,2026-04-22T11:25:08+0530,split_wy_bf16_u
7,1.0401,102.67,102.67,8.006e-03,6.355e+05,2026-04-22T11:37:59+0530,split_wy_four_warps
8,1.0218,100.48,100.48,8.006e-03,6.355e+05,2026-04-22T11:54:47+0530,split_wy_shape_warps
9,1.0219,98.33,98.33,8.006e-03,6.355e+05,2026-04-22T12:41:05+0530,n3_partial_chunk_cache
10,1.0160,96.78,96.78,8.006e-03,6.355e+05,2026-04-22T13:28:32+0530,mid_n_gate240
11,1.0241,94.50,94.50,8.006e-03,6.355e+05,2026-04-22T14:58:13+0530,n3_cached_powers
12,1.0031,94.21,94.21,8.006e-03,6.355e+05,2026-04-22T15:07:14+0530,n3_power_gate325
13,1.0081,93.45,93.45,8.006e-03,6.355e+05,2026-04-22T15:12:47+0530,n3_power_gate221
14,1.0025,93.22,93.22,8.006e-03,6.355e+05,2026-04-22T15:25:01+0530,mid_n_total800
15,1.0140,91.93,91.93,8.006e-03,6.355e+05,2026-04-22T15:42:48+0530,n2_c16_split480
16,1.0038,91.58,91.58,8.006e-03,6.355e+05,2026-04-22T15:49:59+0530,n2_split287
17,1.0288,92.25,92.25,8.006e-03,6.355e+05,2026-04-22T16:05:00+0530,n2_split231_paired
18,1.0080,90.96,90.96,6.191e-03,6.355e+05,2026-04-22T17:25:34+0530,n3_cache_c16
19,1.0521,86.45,86.45,6.191e-03,6.355e+05,2026-04-22T18:04:16+0530,manyseq_gate_prepass
20,1.2471,68.98,68.98,6.673e-03,6.355e+05,2026-04-22T18:19:30+0530,flat_manyseq_wy
21,1.0492,65.75,65.75,6.673e-03,1.029e+06,2026-04-22T18:39:02+0530,flat_manyseq_gate128
22,1.0011,65.68,65.68,6.673e-03,1.029e+06,2026-04-22T19:07:25+0530,flat_midn_dispatch
23,1.0407,63.11,63.11,6.673e-03,1.029e+06,2026-04-22T19:53:00+0530,flat_manyseq_bv16_gate48
24,1.0001,63.10,63.10,6.673e-03,1.029e+06,2026-04-22T20:15:00+0530,fallback_exp2_sigmoid
25,1.0047,62.80,62.80,6.673e-03,1.029e+06,2026-04-22T20:22:00+0530,yspace_fp16_inverse
26,1.0039,62.56,62.56,6.673e-03,1.029e+06,2026-04-22T20:47:00+0530,flat_gva_pair_prepass
27,1.0120,61.82,61.82,6.673e-03,1.029e+06,2026-04-22T21:12:00+0530,n3_split_wy_dispatch
28,1.0003,61.80,61.80,6.673e-03,1.029e+06,2026-04-22T21:38:40+0530,n3_very_long_c32
29,1.0050,61.50,61.50,6.673e-03,1.029e+06,2026-04-22T21:52:30+0530,flat_record_base_highn
30,1.0049,61.20,61.20,6.673e-03,1.029e+06,2026-04-24T01:13:20+0530,n3_c32_gva2_prepass
31,1.0004,61.17,61.17,6.673e-03,1.029e+06,2026-04-24T02:35:32+0530,flat_highn_edge_interleave
